fid	location	lng	lat	accuracy
4024	"Boston, MA"	-71.0597732	42.3584308	4
4025	"Boston, MA"	-71.0597732	42.3584308	4
4026	Cambridge 	-71.1097335	42.3736158	4
4027	"Walpole, MA"	-71.2495096	42.1417442	4
4028	"Boston, Dedham, MA"	-71.0597732	42.3584308	4
4029	Cambridge MA	-71.1097335	42.3736158	4
4030	"Boston,Ma"	-71.0597732	42.3584308	4
4031	"Cambridge, MA"	-71.1097335	42.3736158	4
4032	"burlington,ma"	-73.212072	44.4758825	4
4033	"Wellesley, MA"	-71.2923877	42.296797	4
4034	"Wellesley, MA"	-71.2923877	42.296797	4
4035	Boston Ma	-71.0597732	42.3584308	4
4036	"Watertown, MA"	-71.1828321	42.3709299	4
4037	Boston Ma	-71.0597732	42.3584308	4
4038	Waltham Ma	-71.2356113	42.3764852	4
4039	"Wellesley, MA"	-71.2923877	42.296797	4
4040	"Wellesley, MA"	-71.2923877	42.296797	4
4041	"Needham, MA"	-71.2377548	42.2809285	4
4042	"Wellesley, MA"	-71.2923877	42.296797	4
4043	"Wellesley, MA"	-71.2923877	42.296797	4
4044	BOSTON 	-71.0597732	42.3584308	4
4045	"Brookline, MA"	-71.1211635	42.3317642	4
4046	"Burlington, Ma"	-73.212072	44.4758825	4
4047	"Boston, MA"	-71.0597732	42.3584308	4
4048	"Watertown, MA"	-71.1828321	42.3709299	4
4049	"Boston,Ma"	-71.0597732	42.3584308	4
4050	"Norwood, MA"	-71.1989695	42.1943909	4
4051	"Boston,Ma"	-71.0597732	42.3584308	4
4052	"burlington,ma"	-73.212072	44.4758825	4
5015	Chicago 	-87.6297982	41.8781136	4
5016	Chicago	-87.6297982	41.8781136	4
5017	n/a	-69.6691186	-38.8233843	2
5018	n/a	-69.6691186	-38.8233843	2
5019	"Chicago, Illinois"	-87.6297982	41.8781136	4
5020	Chicago	-87.6297982	41.8781136	4
5021	"Chicago, IL"	-87.6297982	41.8781136	4
5022	"Chicago, IL"	-87.6297982	41.8781136	4
5023	Chicago	-87.6297982	41.8781136	4
5024	"Chicago, IL"	-87.6297982	41.8781136	4
5025	Metro Chicago	-87.6297982	41.8781136	4
5026	Chicago	-87.6297982	41.8781136	4
5027	Chicago	-87.6297982	41.8781136	4
5028	Chicago	-87.6297982	41.8781136	4
5029	Chicago IL	-87.6297982	41.8781136	4
5030	"Chicago, IL"	-87.6297982	41.8781136	4
5031	Chicago	-87.6297982	41.8781136	4
5032	Chicago	-87.6297982	41.8781136	4
5033	Chicago	0	0	0
5034	Metro Chicago	-87.6297982	41.8781136	4
5035	Chicago	-87.6297982	41.8781136	4
5036	"Chicago, IL"	-87.6297982	41.8781136	4
5037	"Chicago, IL"	-87.6297982	41.8781136	4
5038	Chicago IL	-87.6297982	41.8781136	4
5039	Chicago IL	-87.6297982	41.8781136	4
5040	Chicago	-87.6297982	41.8781136	4
5041	Chicago	-87.6297982	41.8781136	4
5042	Metro Chicago	-87.6297982	41.8781136	4
5043	Metro Chicago	-87.6297982	41.8781136	4
5044	"Chicago, IL"	-87.6297982	41.8781136	4
5045	"Chicago, Illinois"	-87.6297982	41.8781136	4
5046	Chicago 	-87.6297982	41.8781136	4
5047	"Plano, TX"	-96.6988856	33.0198431	4
5048	Chicago 	-87.6297982	41.8781136	4
5049	"Appleton, WI"	-88.4153847	44.2619309	4
5050	"Palo Alto, CA"	-98.6659426	20.2861441	6
5051	nanaimo/courtenay bc 	-124.9136155	49.6265963	6
5052	Metro Chicago	-87.6297982	41.8781136	4
5053	Chicago	-87.6297982	41.8781136	4
5054	nanaimo/courtenay bc 	-124.9136155	49.6265963	6
5055	nanaimo/courtenay bc 	-124.9136155	49.6265963	6
5056	n/a	-69.6691186	-38.8233843	2
5057	Chicago	-87.6297982	41.8781136	4
5058	"Buffalo, NY"	-78.8783689	42.8864468	4
5059	The Motor City	-83.0457538	42.331427	4
5060	Chicago	-87.6297982	41.8781136	4
5061	USA	-95.712891	37.09024	1
5062	"Chicago, IL"	-87.6297982	41.8781136	4
5063	"Bend, OR"	-121.3153096	44.0581728	4
5064	"25 ave , Illnois 60625 Chicago"	-89.0931582	30.381612	6
5065	Chicago	-87.6297982	41.8781136	4
5066	n/a	-69.6691186	-38.8233843	2
5067	"Ann Arbor, Michigan"	-83.7430378	42.2808256	4
5068	"Chicago, IL"	-87.6297982	41.8781136	4
5069	"Chicago, IL"	-87.6297982	41.8781136	4
5070	"New York, NY"	-74.0059731	40.7143528	4
6580	Los Angeles	-118.2436849	34.0522342	4
6581	"Los Angeles, CA"	-118.2436849	34.0522342	4
6582	"LA, USA"	-118.2436849	34.0522342	4
6583	Los Angeles	-118.2436849	34.0522342	4
6584	"Downtown Los Angeles, CA"	-118.2436849	34.0522342	4
6585	"LA, California"	-118.2436849	34.0522342	4
6586	"Los Angeles, CA"	-118.2436849	34.0522342	4
6587	"PASADENA, CA (Dena baby!)"	-118.1445155	34.1477849	4
6588	"Los Angeles, CA"	-118.2436849	34.0522342	4
6589	"PASADENA, CA (Dena baby!)"	-118.1445155	34.1477849	4
6590	n/a	-69.6691186	-38.8233843	2
6591	"Ann Arbor, Michigan"	-83.7430378	42.2808256	4
6592	"Los Angeles, CA"	-118.2436849	34.0522342	4
6593	Los Angeles	-118.2436849	34.0522342	4
6594	"Pasadena, CA"	-118.1445155	34.1477849	4
6595	"??T: 34.042719,-118.258444"	15.2223006	49.4156776	6
6596	"Maryland, USA"	-76.6412712	39.0457549	2
6597	"Doha, Qatar"	51.522476	25.280282	4
6598	n/a	-69.6691186	-38.8233843	2
6599	"Los Angeles, CA"	-118.2436849	34.0522342	4
6600	"Los Angeles, CA"	-118.2436849	34.0522342	4
6601	Los Angeles	-118.2436849	34.0522342	4
6602	"Los Angeles, CA"	-118.2436849	34.0522342	4
6603	"Los Angeles, CA"	-118.2436849	34.0522342	4
6604	"Los Angeles, CA"	-118.2436849	34.0522342	4
6605	Los Angeles	-118.2436849	34.0522342	4
6606	Los Angeles	-118.2436849	34.0522342	4
6607	Where Uncle Sam wants me	0	0	0
6608	"Downtown Los Angeles, CA"	-118.2436849	34.0522342	4
6609	"Palo Alto, CA"	-98.6659426	20.2861441	6
6610	"Los Angeles, CA"	-118.2436849	34.0522342	4
6611	"Los Angeles, CA"	-118.2436849	34.0522342	4
6612	Santa Monica	-118.4911912	34.0194543	4
6613	"Los Angeles, California"	-118.2436849	34.0522342	4
6614	"Pasadena, CA"	-118.1445155	34.1477849	4
6615	19701 Sherman Way	0	0	0
6616	"Los Angeles, CA"	-118.2436849	34.0522342	4
6617	n/a	-69.6691186	-38.8233843	2
6618	"Seattle, WA"	-122.3320708	47.6062095	4
6619	"Los Angeles, CA "	-118.2436849	34.0522342	4
6620	"Los Angeles, CA "	-118.2436849	34.0522342	4
6621	"Los Angeles, ca"	-118.2436849	34.0522342	4
6622	"Pasadena, CA"	-118.1445155	34.1477849	4
6623	n/a	-69.6691186	-38.8233843	2
6624	Los Angeles	-118.2436849	34.0522342	4
6625	"Santa Monica, CA"	-118.4911912	34.0194543	4
6626	n/a	-69.6691186	-38.8233843	2
6627	"Saint Augustine, FL"	-81.3132083	29.8942639	4
6628	Los Angeles	-118.2436849	34.0522342	4
6629	SC	-81.1637245	33.836081	2
6630	NEW YORK CITY	0	0	0
6631	"chicago,il "	-87.6297982	41.8781136	4
6632	Ecuador	-78.183406	-1.831239	1
6633	"Richmond, Virginia"	-77.4360481	37.5407246	4
6634	"Los Angeles, CA"	-118.2436849	34.0522342	4
6635	"Los Angeles, CA USA"	-118.2436849	34.0522342	4
6636	Los Angeles	-118.2436849	34.0522342	4
6637	Los Angeles	-118.2436849	34.0522342	4
6638	"Los Angeles, CA"	-118.2436849	34.0522342	4
6639	"34.22186,-118.470921"	-77.1703672	38.7738571	6
6640	"Los Angeles, CA, USA"	-118.2436849	34.0522342	4
6641	Los Angeles	-118.2436849	34.0522342	4
6642	"Los Angeles, California "	-118.2436849	34.0522342	4
6643	"Los Angeles, CA"	-118.2436849	34.0522342	4
6644	"Los Angeles, CA"	-118.2436849	34.0522342	4
6645	"Los Angeles, CA"	-118.2436849	34.0522342	4
6646	Los Angeles	-118.2436849	34.0522342	4
6647	"Palo Alto, CA"	-98.6659426	20.2861441	6
6648	"Los Angeles, CA"	-118.2436849	34.0522342	4
6649	"Los Angeles, CA"	-118.2436849	34.0522342	4
6650	"Downtown Los Angeles, CA"	-118.2436849	34.0522342	4
6651	"Pasadena, CA"	-118.1445155	34.1477849	4
6652	Los Angeles	-118.2436849	34.0522342	4
6653	Los Feliz	-118.2848199	34.1063307	4
6654	"Los Angeles, CA"	-118.2436849	34.0522342	4
6655	"Los Angeles, CA"	-118.2436849	34.0522342	4
6656	"Los Angeles, CA"	-118.2436849	34.0522342	4
6657	Maryland	-76.6412712	39.0457549	2
6658	"Los Angeles, CA"	-118.2436849	34.0522342	4
6659	"State College, Pennsylvania"	-77.8600012	40.7933949	4
6660	"Beverly Trills, CA"	0	0	0
6661	"Beverly Hills, CA"	-118.4003563	34.0736204	4
6662	"West Hollywood, CA"	-118.3617443	34.0900091	4
6663	"Los Angeles, CA"	-118.2436849	34.0522342	4
6664	"Los Angeles, California"	-118.2436849	34.0522342	4
6665	Los Angeles	-118.2436849	34.0522342	4
6666	Los Angeles	-118.2436849	34.0522342	4
6667	"El Segundo, CA"	-118.4164652	33.9191799	4
6668	"Los Angeles, CA"	-118.2436849	34.0522342	4
6669	"Los Angeles, CA"	-118.2436849	34.0522342	4
6670	"Los Angeles, California"	-118.2436849	34.0522342	4
6671	"Los Angeles, CA"	-118.2436849	34.0522342	4
6672	"Los Angeles, California"	-118.2436849	34.0522342	4
6673	n/a	-69.6691186	-38.8233843	2
6674	Los Angeles	-118.2436849	34.0522342	4
6675	"Belleville, Ontario"	-89.9839935	38.5200504	4
6676	Los Angeles	-118.2436849	34.0522342	4
6677	Hawthorne	-118.3525748	33.9164032	4
6678	Los Angeles	-118.2436849	34.0522342	4
6679	n/a	-69.6691186	-38.8233843	2
6680	UK	-3.435973	55.378051	1
6681	"Manhattan Beach, CA"	-118.4109089	33.8847361	4
6682	"Los Angeles, CA"	-118.2436849	34.0522342	4
6683	"Los Angeles, CA"	-118.2436849	34.0522342	4
6684	"Los Angeles, CA"	-118.2436849	34.0522342	4
6685	"Los Angeles, CA"	-118.2436849	34.0522342	4
6686	UK	-3.435973	55.378051	1
6687	CA	-119.4179324	36.778261	2
6688	"Downtown Los Angeles, CA"	-118.2436849	34.0522342	4
6689	"Palo Alto, CA"	-98.6659426	20.2861441	6
6690	"Canoga Park, California"	-118.6089752	34.2061948	4
6691	"Los Angeles, CA"	-118.2436849	34.0522342	4
6692	Los Angeles	-118.2436849	34.0522342	4
6693	Los Angeles	-118.2436849	34.0522342	4
6694	Los Angeles	-118.2436849	34.0522342	4
6695	"Los Angeles, CA "	-118.2436849	34.0522342	4
6696	Los Angeles	-118.2436849	34.0522342	4
6697	"El Segundo, CA"	-118.4164652	33.9191799	4
6698	"Santa Monica, CA"	-118.4911912	34.0194543	4
6699	"Pasadena, CA"	-118.1445155	34.1477849	4
6700	"El Segundo, CA"	-118.4164652	33.9191799	4
6701	"Santa Monica, CA"	-118.4911912	34.0194543	4
6702	"Los Angeles, CA"	-118.2436849	34.0522342	4
6703	"Los Angeles, CA"	-118.2436849	34.0522342	4
6704	"LOS ANGELES, CA "	-118.2436849	34.0522342	4
6705	"Pasadena, CA"	-118.1445155	34.1477849	4
6706	Los Angeles	-118.2436849	34.0522342	4
6707	n/a	-69.6691186	-38.8233843	2
6708	"Pasadena, CA"	-118.1445155	34.1477849	4
6709	"Los Angeles, CA"	-118.2436849	34.0522342	4
6710	Los Angeles	-118.2436849	34.0522342	4
6711	"Los Angeles, CA "	-118.2436849	34.0522342	4
6712	"LA, California"	-118.2436849	34.0522342	4
6713	"Pasadena, CA"	-118.1445155	34.1477849	4
6714	Los Angeles	-118.2436849	34.0522342	4
6715	"Los Angeles, CA"	-118.2436849	34.0522342	4
6716	"Los Angeles, CA"	-118.2436849	34.0522342	4
6717	"Los Angeles, CA"	-118.2436849	34.0522342	4
6718	Houston / Phoenix  	-95.1135017	29.5746562	9
6719	"Los Angeles, CA"	-118.2436849	34.0522342	4
6720	"Montreal,Quebec,Canada"	-73.5539925	45.5086699	4
6721	n/a	-69.6691186	-38.8233843	2
6722	"Los Angeles, CA"	-118.2436849	34.0522342	4
6723	n/a	-69.6691186	-38.8233843	2
6724	n/a	-69.6691186	-38.8233843	2
6725	Cologne/Germany	6.9602786	50.937531	4
6726	NY/ DF / OAXACA	-74.0059731	40.7143528	4
6727	"Lynwood, CA"	-118.2114603	33.930293	4
6728	n/a	-69.6691186	-38.8233843	2
6729	"Palo Alto, CA"	-98.6659426	20.2861441	6
6730	"Phoenix, Arizona USA"	-112.0740373	33.4483771	4
6731	Los Angeles 	-118.2436849	34.0522342	4
6732	elmira new york	-76.8077338	42.0897965	4
6733	n/a	-69.6691186	-38.8233843	2
7792	San Francisco	-122.4194155	37.7749295	4
7793	"Berkeley, CA"	-122.272747	37.8715926	4
7794	"Berkeley, CA"	-122.272747	37.8715926	4
7795	"San Francisco, CA"	-122.4194155	37.7749295	4
7796	n/a	-69.6691186	-38.8233843	2
7797	San Francisco	-122.4194155	37.7749295	4
7798	San Francisco 	-122.4194155	37.7749295	4
7799	San Francisco 	-122.4194155	37.7749295	4
7800	San Francisco	-122.4194155	37.7749295	4
7801	"San Francisco, California"	-122.4194155	37.7749295	4
7802	"San Francisco, CA"	-122.4194155	37.7749295	4
7803	San Francisco	-122.4194155	37.7749295	4
7804	n/a	-69.6691186	-38.8233843	2
7805	UK	-3.435973	55.378051	1
7806	San Francisco	-122.4194155	37.7749295	4
7807	San Francisco	-122.4194155	37.7749295	4
7808	San Francisco	-122.4194155	37.7749295	4
7809	San Francisco	-122.4194155	37.7749295	4
7810	"San Francisco, Ca"	-122.4194155	37.7749295	4
7811	"San Francisco, CA"	-122.4194155	37.7749295	4
7812	"San Francisco, CA"	-122.4194155	37.7749295	4
7813	San Francisco	-122.4194155	37.7749295	4
7814	"San Francisco, CA"	-122.4194155	37.7749295	4
7815	"San Francisco, CA"	-122.4194155	37.7749295	4
7816	"Oakland, CA"	-122.2711137	37.8043637	4
7817	San Francisco	-122.4194155	37.7749295	4
7818	San Francisco	-122.4194155	37.7749295	4
7819	"San Francisco, CA"	-122.4194155	37.7749295	4
7820	San Francisco	-122.4194155	37.7749295	4
7821	san francisco	-122.4194155	37.7749295	4
7822	"San Francisco, CA"	-122.4194155	37.7749295	4
7823	"San Francisco, CA"	-122.4194155	37.7749295	4
7824	"San Francisco, CA"	-122.4194155	37.7749295	4
7825	San Francisco	-122.4194155	37.7749295	4
7826	San Francisco	-122.4194155	37.7749295	4
7827	"BAY AREA, CALIFORNIA"	-122.25	37.7141454	3
7828	San Francisco	-122.4194155	37.7749295	4
7829	San Francisco	-122.4194155	37.7749295	4
7830	San Francisco	-122.4194155	37.7749295	4
7831	San Francisco	-122.4194155	37.7749295	4
7832	San Francisco Bay Area	-122.25	37.7141454	3
7833	Classified.	-85.6866503	38.1993383	6
7834	"San Francisco, CA"	-122.4194155	37.7749295	4
8359	"Philadelphia, PA"	-75.163789	39.952335	4
8360	n/a	-69.6691186	-38.8233843	2
8361	n/a	-69.6691186	-38.8233843	2
8362	"philadelphia,pa"	-75.163789	39.952335	4
8363	"Mount Laurel, NJ"	-74.9002778	39.9488889	4
8364	Philadelphia Area	-75.163789	39.952335	4
8365	"Doha, Qatar"	51.522476	25.280282	4
8366	Philly	-75.163789	39.952335	4
8367	Philadelphia	-75.163789	39.952335	4
8368	"Mount Laurel, NJ"	-74.9002778	39.9488889	4
8369	"Philadelphia, PA"	-75.163789	39.952335	4
8370	PHL	-75.2490713	39.8749715	9
8371	Philly	-75.163789	39.952335	4
8372	"philadelphia,pa"	-75.163789	39.952335	4
8373	philly	-75.163789	39.952335	4
8374	"philadelphia,pa"	-75.163789	39.952335	4
8375	"Mount Laurel, NJ"	-74.9002778	39.9488889	4
8376	Philadelphia	-75.163789	39.952335	4
8377	"Ambler, PA"	-75.2215651	40.1545535	4
8378	"Ambler, PA"	-75.2215651	40.1545535	4
8379	Philly	-75.163789	39.952335	4
8380	"Doha, Qatar"	51.522476	25.280282	4
8381	Philly	-75.163789	39.952335	4
8382	"Philadelphia, PA"	-75.163789	39.952335	4
8383	Philadelphia Area	-75.163789	39.952335	4
8384	Philly	-75.163789	39.952335	4
8385	"??T: 39.900765,-74.905688"	17.5222691	50.9165407	6
8386	"Philadelphia, PA"	-75.163789	39.952335	4
8387	"Magnolia, NJ"	-93.1779659	33.1285176	3
8388	n/a	-69.6691186	-38.8233843	2
8389	"Haddonfield, NJ"	-75.0376707	39.8915022	4
8390	"Woodbury, NJ"	-92.9593797	44.9238552	4
8391	philly	-75.163789	39.952335	4
8392	"Philadelphia, PA"	-75.163789	39.952335	4
8393	"Philadelphia, PA"	-75.163789	39.952335	4
8394	"Mount Laurel, NJ"	-74.9002778	39.9488889	4
8395	"philadelphia,pa"	-75.163789	39.952335	4
8767	"Phoenix, AZ"	-112.0740373	33.4483771	4
8768	"Scottsdale, AZ"	-111.9260519	33.4941704	4
8769	"Phoenix, Arizona "	-112.0740373	33.4483771	4
8770	"Phoenix, Arizona"	-112.0740373	33.4483771	4
8771	"Phoenix, AZ"	-112.0740373	33.4483771	4
8772	"Phoenix, Arizona"	-112.0740373	33.4483771	4
8773	"Phoenix, Arizona"	-112.0740373	33.4483771	4
8774	"Phoenix, Arizona"	-112.0740373	33.4483771	4
8775	Mesa	-111.8314724	33.4151843	4
8776	"Phoenix, Arizona"	-112.0740373	33.4483771	4
8777	"Phoenix, Arizona"	-112.0740373	33.4483771	4
8778	Phoenix	-112.0740373	33.4483771	4
8779	"Phoenix, Arizona"	-112.0740373	33.4483771	4
8780	"Peoria, AZ"	-89.5889864	40.6936488	4
8781	"Phoenix, Arizona"	-112.0740373	33.4483771	4
8782	Phoenix Arizona	-112.0740373	33.4483771	4
8783	"Phoenix
"	-112.0740373	33.4483771	4
9122	"San Diego, CA"	-99.821927	20.6886441	6
9123	"San Diego, CA"	-99.821927	20.6886441	6
9124	n/a	-69.6691186	-38.8233843	2
9125	"San Diego, CA"	-99.821927	20.6886441	6
9126	"San Diego, CA"	-99.821927	20.6886441	6
9127	"San Diego, CA"	-99.821927	20.6886441	6
